# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = sporadic_survival_model
# start_datetime = 2022-07-13 15:18:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = sporadic-survival.data.json
# init = 2 (Default)
# random
#   seed = 4283284196 (Default)
# output
#   file = sporadic-survival-4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda.1,lambda.2,lambda.3,lambda.4,delta,theta,model_surv_1y.1,model_surv_1y.2,model_surv_1y.3,model_surv_1y.4,model_surv_5y.1,model_surv_5y.2,model_surv_5y.3,model_surv_5y.4
# Adaptation terminated
# Step size = 0.230728
# Diagonal elements of inverse mass matrix:
# 0.00397548, 0.00581114, 0.00480184, 0.0394736, 0.0277306, 0.00500012
-25.2511,0.888057,0.230728,4,15,0,25.9065,0.0156887,0.068715,0.260862,1.72834,5.10135,1.24712,0.987549,0.94798,0.830646,0.457177,0.930504,0.758512,0.470429,0.143478
-28.2003,0.936196,0.230728,4,15,0,31.5415,0.0147006,0.0763266,0.244361,1.68476,5.46448,1.36631,0.98815,0.941941,0.838691,0.46971,0.934644,0.742423,0.495958,0.162179
-31.2343,0.947638,0.230728,3,7,0,32.1087,0.0150527,0.0760104,0.234627,1.88097,5.63513,1.39499,0.987793,0.941852,0.843374,0.447679,0.933192,0.743786,0.507305,0.154346
-24.5996,1,0.230728,4,15,0,32.6272,0.0161696,0.0706554,0.267823,1.84794,5.03552,1.4046,0.987225,0.946974,0.829594,0.460176,0.928965,0.75778,0.479942,0.158142
-23.2089,0.850544,0.230728,4,31,0,28.7883,0.0179371,0.088432,0.326766,2.97721,2.48682,1.40966,0.988843,0.948001,0.837698,0.461642,0.924967,0.725418,0.447692,0.139338
-22.49,0.998378,0.230728,3,15,0,24.5169,0.0175025,0.0844042,0.321784,2.83579,2.47983,1.42998,0.989124,0.9503,0.840071,0.471033,0.926695,0.734723,0.453098,0.143918
-24.2818,0.797305,0.230728,4,15,0,25.0155,0.0193258,0.0913006,0.331964,3.49778,2.98045,1.7524,0.987077,0.942931,0.829139,0.445988,0.919728,0.727706,0.473851,0.163536
-21.1798,0.991842,0.230728,4,15,0,25.2662,0.0171113,0.0871502,0.313351,2.98035,2.7938,1.54422,0.988812,0.946363,0.837609,0.456343,0.927828,0.730528,0.467472,0.148549
-22.7863,0.995275,0.230728,4,15,0,23.7692,0.0202201,0.0851011,0.332614,3.71445,2.38605,1.63403,0.987697,0.950999,0.840754,0.462661,0.917392,0.739907,0.46683,0.165965
-21.7956,0.951059,0.230728,4,15,0,25.7484,0.017796,0.0824318,0.314335,2.54088,2.92336,1.43637,0.98815,0.948023,0.833269,0.463334,0.924686,0.736733,0.455501,0.141887
-21.5212,0.999488,0.230728,4,15,0,22.7505,0.0171671,0.0849615,0.296182,2.77115,3.13533,1.60582,0.988263,0.945385,0.839187,0.456575,0.927216,0.735413,0.482889,0.154615
-23.7653,0.935762,0.230728,4,15,0,25.5089,0.0172664,0.0700995,0.304996,2.35858,3.15764,1.42498,0.988153,0.95404,0.832814,0.464069,0.926333,0.764029,0.459526,0.143731
-21.9466,1,0.230728,4,15,0,24.8088,0.0189422,0.087799,0.295137,2.63567,2.98872,1.5668,0.987301,0.944615,0.841684,0.466991,0.920582,0.728939,0.48087,0.155016
-21.3858,0.923636,0.230728,4,15,0,26.3485,0.0174721,0.0898992,0.311594,3.22344,2.80918,1.65309,0.988562,0.94484,0.839298,0.455413,0.926701,0.728208,0.478583,0.158455
-20.994,0.991807,0.230728,4,31,0,22.5215,0.017239,0.0813924,0.32504,2.77034,2.89503,1.59051,0.98857,0.949021,0.831426,0.466139,0.927278,0.743595,0.463668,0.156144
-22.2409,0.815197,0.230728,2,7,0,23.6068,0.0170066,0.0798417,0.310184,2.81368,2.72687,1.60595,0.988994,0.951107,0.841007,0.473975,0.928506,0.748201,0.475767,0.160401
-20.9395,0.916893,0.230728,4,15,0,23.3267,0.0183801,0.0917559,0.325533,2.96035,2.81926,1.6136,0.987957,0.943652,0.833057,0.462603,0.923144,0.723212,0.465999,0.156891
-22.1923,0.96022,0.230728,4,15,0,23.9225,0.018458,0.0970928,0.332685,3.42561,2.56895,1.70166,0.988377,0.942964,0.836923,0.466119,0.923618,0.717206,0.471484,0.169404
