# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = sporadic_survival_model
# start_datetime = 2022-07-11 18:20:40 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = sporadic-survival.data.json
# init = 2 (Default)
# random
#   seed = 4121395905 (Default)
# output
#   file = sporadic-survival-4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,lambda.1,lambda.2,lambda.3,lambda.4,delta,theta,model_surv_1y.1,model_surv_1y.2,model_surv_1y.3,model_surv_1y.4,model_surv_5y.1,model_surv_5y.2,model_surv_5y.3,model_surv_5y.4
# Adaptation terminated
# Step size = 0.114315
# Diagonal elements of inverse mass matrix:
# 0.0102392, 0.00877644, 0.00982526, 0.0179169, 0.226457, 0.0271319
-29.9787,0.811876,0.114315,4,15,0,35.3416,0.0162983,0.0902956,0.355168,0.745225,16.6121,0.449769,0.984852,0.920106,0.732871,0.54441,0.92396,0.66598,0.274383,0.11404
-32.8686,0.853161,0.114315,5,31,0,35.4491,0.0169479,0.0951382,0.370803,0.789067,35.0752,0.555524,0.983744,0.913814,0.720128,0.528118,0.920955,0.657081,0.281042,0.124682
-31.7656,0.991659,0.114315,5,31,0,40.4767,0.0197722,0.104443,0.387563,0.831544,11.0103,0.690109,0.982294,0.912166,0.729866,0.545304,0.910327,0.644715,0.296762,0.143672
-29.843,1,0.114315,4,31,0,32.748,0.0186474,0.099,0.37319,0.773041,9.59202,0.526967,0.983509,0.917027,0.735474,0.555541,0.914697,0.649468,0.278227,0.124922
-27.0476,0.999776,0.114315,5,31,0,30.4767,0.017135,0.0956648,0.380117,0.793693,10.9932,0.560013,0.984612,0.918627,0.729522,0.546603,0.921093,0.659088,0.278829,0.126685
-26.1106,0.983836,0.114315,4,23,0,28.1379,0.0181648,0.111293,0.413109,0.87607,7.22857,0.624334,0.984546,0.911162,0.726079,0.541623,0.917631,0.627471,0.272287,0.125482
-26.0622,0.998431,0.114315,5,55,0,27.7717,0.0184089,0.114147,0.490493,1.11576,4.11925,0.85244,0.986175,0.919885,0.726714,0.539076,0.919016,0.640182,0.277503,0.135752
-27.43,0.530293,0.114315,5,39,0,32.3745,0.0178725,0.102435,0.37497,0.792643,10.5075,0.505708,0.984025,0.913443,0.731562,0.543487,0.917803,0.639123,0.272548,0.116609
-27.457,0.981824,0.114315,4,31,0,28.8461,0.0167735,0.101437,0.371729,0.775596,15.3743,0.515022,0.984502,0.911581,0.726535,0.54053,0.922138,0.640599,0.274898,0.120753
-27.9702,0.97645,0.114315,6,79,0,29.1644,0.0197451,0.13114,0.607698,1.53134,2.65644,1.03174,0.987348,0.922201,0.72682,0.534813,0.916476,0.624914,0.269589,0.133008
-26.1519,0.707684,0.114315,5,63,0,30.8437,0.0173966,0.110717,0.438602,0.933825,6.02919,0.710474,0.985664,0.914538,0.723814,0.542313,0.921569,0.635415,0.274673,0.13277
-26.5366,0.942386,0.114315,4,31,0,28.8018,0.0175099,0.110815,0.412434,0.856011,7.46494,0.626521,0.985022,0.911102,0.725369,0.546547,0.920347,0.628464,0.272842,0.129142
-25.8311,0.937252,0.114315,3,15,0,27.837,0.0177534,0.10801,0.406154,0.863534,7.17798,0.612041,0.984907,0.913641,0.729453,0.544811,0.919349,0.634343,0.274273,0.125364
