# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = calibration_model
# start_datetime = 2022-07-04 15:24:28 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = calibration.json
# init = calibration.init.json
# random
#   seed = 0
# output
#   file = fit-1.csv
#   diagnostic_file =  (Default)
#   refresh = 10
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta_cons.1,theta_cons.2,theta_cons.3,theta_age.1,theta_age.2,theta_age.3,rho0,rho1,rho2,eta.1,eta.2,eta.3,eta.4,phi.1,phi.2,phi.3,psi.1,psi.2,psi.3,kappa,nu,rate_LS_progression_AB,rate_LS_progression_BC,rate_LS_progression_CD,Dabir_genotype.1,Dabir_genotype.2,Dabir_genotype.3
# Adaptation terminated
# Step size = 0.117832
# Diagonal elements of inverse mass matrix:
# 0.00402287, 0.00178843, 0.0606368, 1.03347, 1.5358, 2.54036, 0.130208, 32.3695, 0.0671733, 1.79788, 0.965815, 2.46967, 1.44191, 0.212909, 0.443374, 1.05055, 0.126523, 0.061787, 0.613176, 1.81703, 1.09289, 0.0742128, 0.154101, 0.170865, 0.0356365, 0.120044
4966.06,0.985381,0.117832,5,31,0,-4955.6,-5.04168,-4.96874,-4.37569,0.0475028,0.0493202,0.00816294,0.231433,36.7144,35.9049,0.455918,0.109047,0.351388,0.0642282,0.254857,0.327029,0.0404891,0.125039,0.0957908,0.0862975,0.0305757,0.00553049,1.54327,1.94353,0.666381,0.671681,0.258504,0.0698145
4966.39,0.819133,0.117832,5,31,0,-4955.04,-5.26551,-5.04937,-4.43767,0.0387333,0.0477131,0.00569618,0.110697,35.7579,30.8095,0.492864,0.257851,0.166574,0.0313596,0.213303,0.254758,0.0482205,0.140687,0.0798819,0.0761089,0.00794769,0.0279039,1.30995,1.51447,0.212284,0.573813,0.331084,0.0951035
4966.94,0.999007,0.117832,5,31,0,-4954.49,-5.13037,-4.87575,-5.45134,0.0448643,0.0485065,0.00936663,0.222642,33.7025,36.9066,0.424763,0.214414,0.161266,0.0807344,0.268226,0.337798,0.112741,0.169666,0.104772,0.133325,0.0323099,0.00337544,1.2411,1.90794,0.499016,0.609883,0.318639,0.0714777
4960.19,0.947038,0.117832,5,31,0,-4950.17,-5.14685,-4.74602,-4.3608,0.0448913,0.0420746,0.01377,0.2009,33.0333,35.7372,0.461542,0.28146,0.122169,0.0677578,0.295093,0.328793,0.130724,0.152003,0.11031,0.149712,0.0997758,0.00132061,1.55055,1.73594,0.549682,0.610379,0.290982,0.0986383
4964.85,0.991703,0.117832,5,31,0,-4951.16,-4.98842,-4.99305,-4.81253,0.0367898,0.0481677,0.0197788,0.198288,38.7721,31.3816,0.491318,0.163427,0.204122,0.010639,0.24585,0.43207,0.0728152,0.205972,0.119413,0.0982699,0.00284995,0.000726615,1.63404,1.24213,0.494468,0.602039,0.324319,0.0736412
4960.5,0.781128,0.117832,5,31,0,-4944.75,-5.10193,-5.06033,-4.4578,0.0464583,0.0483113,0.000509667,0.178931,31.0401,33.6351,0.438876,0.332565,0.114767,0.00772229,0.230414,0.25009,0.083183,0.123223,0.09203,0.236164,0.000114552,0.0107946,1.31103,1.96165,0.510786,0.523664,0.36224,0.114096
4959.66,0.996566,0.117832,5,31,0,-4948.28,-4.91917,-5.21023,-5.13213,0.0410604,0.0486753,0.0424038,0.129307,37.5199,32.7451,0.497328,0.141305,0.191673,0.00235069,0.113736,0.336763,0.00910096,0.077019,0.110612,0.0227844,1.22406e-05,0.0133872,1.71427,1.68477,0.261635,0.674512,0.243039,0.0824495
4957.75,0.940147,0.117832,5,31,0,-4947.08,-5.02855,-5.2685,-5.28224,0.0407652,0.0489521,0.045351,0.10079,36.9034,38.5096,0.498824,0.143552,0.186051,0.00361994,0.110884,0.361454,0.0141234,0.0907653,0.102753,0.0126929,9.31696e-06,0.0193844,1.70036,1.91714,0.333411,0.687403,0.227,0.0855968
4958.36,0.936312,0.117832,5,31,0,-4943.22,-5.20285,-5.188,-5.22577,0.0399774,0.0482985,0.027072,0.0790163,34.099,40.5741,0.482241,0.147341,0.0325351,0.0308627,0.134056,0.375843,0.0320611,0.104851,0.115252,0.014504,1.28952e-05,0.0246468,2.04888,1.89085,0.284062,0.664436,0.251381,0.0841827
4955.64,0.994316,0.117832,5,31,0,-4944.28,-5.09082,-4.91101,-6.10987,0.046156,0.0493725,0.0123061,0.186835,39.889,20.26,0.471384,0.0790446,0.479926,0.0574064,0.154812,0.358268,0.0183886,0.104627,0.084649,0.187947,0.158412,0.00678644,1.06327,1.92418,0.502939,0.559584,0.301329,0.139086
