# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 2
# model = calibration_model
# start_datetime = 2022-07-04 15:06:10 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.01 (Default)
#     eval_elbo = 100 (Default)
#     output_samples = 1000 (Default)
# id = 1 (Default)
# data
#   file = calibration.json
# init = calibration.init.json
# random
#   seed = 3504925963 (Default)
# output
#   file = fit-vb.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.2
# stancflags = 
lp__,log_p__,log_g__,theta_cons.1,theta_cons.2,theta_cons.3,theta_age.1,theta_age.2,theta_age.3,rho0,rho1,rho2,eta.1,eta.2,eta.3,eta.4,phi.1,phi.2,phi.3,psi.1,psi.2,psi.3,kappa,nu,rate_LS_progression_AB,rate_LS_progression_BC,rate_LS_progression_CD,Dabir_genotype.1,Dabir_genotype.2,Dabir_genotype.3
# Stepsize adaptation complete.
# eta = 1
0,-481.897,-9.28415,-4.96741,-5.0118,-4.21695,0.0406062,0.0495696,0.00168262,0.151663,39.1673,42.4636,0.491266,0.26027,0.208743,0.0270514,0.163419,0.381924,0.0551861,0.131639,0.107234,0.08808,0.00853714,0.00641558,1.19418,1.57273,0.433195,0.52047,0.396077,0.0834538
0,-476.294,-12.1298,-4.96439,-5.0672,-4.21393,0.0402151,0.0484858,0.00387261,0.156253,38.9501,31.4453,0.410583,0.174822,0.185637,0.0767873,0.160061,0.338855,0.0153257,0.145725,0.108682,0.0397052,0.0253643,0.00512531,1.28478,1.76361,0.465161,0.560688,0.334892,0.10442
0,-488.91,-18.1585,-4.96026,-4.88659,-4.76503,0.0420472,0.0496864,0.00287709,0.176209,31.6946,31.4911,0.496501,0.288327,0.346424,0.139118,0.163668,0.29726,0.0531143,0.130907,0.115658,0.0678123,0.108886,0.0101699,1.11979,1.87063,0.422747,0.559486,0.365327,0.0751873
0,-475.512,-10.624,-5.02971,-5.08645,-4.50486,0.0431643,0.0496109,0.0046382,0.180041,40.3508,34.8552,0.492111,0.287323,0.209381,0.0216404,0.14571,0.36874,0.0833795,0.113292,0.0996596,0.0436522,0.0212971,0.00844731,0.937611,2.60717,0.284939,0.614136,0.291734,0.0941302
0,-485.026,-9.21148,-4.95327,-5.04964,-4.38405,0.0428907,0.0496686,0.00478027,0.161236,39.9206,33.5705,0.473005,0.15377,0.210951,0.00812227,0.167979,0.361801,0.0351583,0.124035,0.108958,0.104122,0.015336,0.00426277,1.26317,1.47098,0.166901,0.559806,0.374264,0.0659301
0,-483.535,-18.9945,-5.00388,-5.04304,-4.29763,0.0421947,0.0486752,0.00260159,0.181603,41.1537,27.5448,0.475542,0.148449,0.237565,0.00753191,0.147253,0.325217,0.00833538,0.110347,0.112273,0.0381119,0.0177769,0.00183762,1.35345,3.29106,0.379862,0.551861,0.400233,0.0479068
0,-488.664,-14.536,-4.95903,-5.07438,-5.01848,0.042722,0.0492979,0.00316279,0.156789,38.5381,52.2721,0.497866,0.257113,0.169974,0.0189342,0.158411,0.405459,0.0383044,0.125397,0.106441,0.0577365,0.00707688,0.0103863,0.873214,1.40995,0.645132,0.547764,0.381014,0.0712216
0,-483.844,-13.2204,-4.97634,-5.09073,-4.89905,0.043,0.0492334,0.00171978,0.18654,33.6244,43.6829,0.455538,0.287407,0.263341,0.161608,0.163688,0.301308,0.0329385,0.117882,0.13304,0.0740412,0.00220846,0.00893944,1.29638,1.72461,0.306907,0.546476,0.326786,0.126738
0,-479.314,-21.737,-5.11628,-5.14412,-4.53831,0.0443721,0.0490545,0.00133745,0.167439,38.5822,31.7782,0.45247,0.336214,0.329607,0.19081,0.199215,0.337854,0.0204494,0.144488,0.10246,0.0511198,0.0748984,0.00419894,2.11736,1.2175,0.231018,0.597307,0.310544,0.092149
0,-481.203,-12.419,-4.85691,-5.05039,-4.88415,0.0426254,0.04844,0.0157192,0.172423,43.649,40.3776,0.491515,0.232615,0.250977,0.0425822,0.155149,0.26927,0.0713561,0.119605,0.111173,0.117776,0.014119,0.00671912,1.3007,1.95779,0.305649,0.561807,0.338644,0.099549
0,-475.847,-9.73668,-5.00405,-5.07007,-5.23091,0.0420808,0.0481336,0.00153471,0.158074,39.4432,35.581,0.446678,0.248917,0.249512,0.010008,0.179326,0.346932,0.0450126,0.10197,0.0918193,0.0578759,0.0120745,0.00971719,1.45984,1.90434,0.284935,0.61278,0.278465,0.108756
0,-485.229,-17.9742,-4.88491,-5.07374,-5.25651,0.0410593,0.0472315,0.00186241,0.1694,34.7798,47.6444,0.478638,0.298494,0.404857,0.0231733,0.201062,0.380552,0.0980465,0.127369,0.0972076,0.0878652,0.00161323,0.00433656,1.45635,1.1031,0.615838,0.625297,0.272491,0.102212
